Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Tyreek Hill,11,215,2,5,1,47,9,81.8,0,52,15
Stefon Diggs,10,102,1,0,0,18,6,60,0,28,13
Puka Nacua,10,119,0,2,0,21,6,60,0,42,15
Zay Flowers,9,78,0,2,0,21,5,55.6,0,51,10
Justin Jefferson,9,150,0,4,1,42,5,55.6,0,67,12
Jakobi Meyers,9,81,2,1,0,21,5,55.6,0,17,10
Brandon Aiyuk,8,129,2,2,0,23,8,100,0,20,8
T.J. Hockenson,8,35,0,0,0,14,3,37.5,0,13,9
Chris Olave,8,112,0,1,1,45,6,75,0,64,10
Michael Pittman,8,97,1,1,0,39,4,50,0,48,11
Calvin Ridley,8,101,1,2,0,29,4,50,1,36,11
A.J. Brown,7,79,0,1,0,23,4,57.1,0,13,10
DeAndre Hopkins,7,65,0,0,0,16,3,42.9,0,5,13
DeVonta Smith,7,47,1,0,0,13,3,42.9,0,8,10
Davante Adams,6,66,0,0,0,18,4,66.7,0,3,9
Keenan Allen,6,76,0,1,0,36,2,33.3,0,26,9
Tutu Atwell,6,119,0,2,1,44,6,100,0,35,8
Calvin Austin III,6,37,0,0,0,13,1,16.7,0,16,6
Kendrick Bourne,6,64,2,0,0,19,3,50,0,22,11
Nico Collins,6,80,0,1,0,26,3,50,0,21,11
Zach Ertz,6,21,0,0,0,6,1,16.7,0,6,10
Mike Evans,6,66,1,1,0,28,2,33.3,0,12,10
Roschon Johnson,6,35,0,0,0,8,1,16.7,0,32,7
Bijan Robinson,6,27,1,0,0,17,2,33.3,0,51,6
Amon-Ra St. Brown,6,71,1,1,0,21,4,66.7,0,20,9
