Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Jake Elliott,13,839,62,11,84.6,2,31,0,0,0,0
Greg Joseph,9,539,23,7,77.8,1,23,1,0,0,0
Brandon Aubrey,8,520,0,8,100,0,0,0,0,0,0
Cameron Dicker,7,455,0,7,100,0,0,0,0,0,0
Jason Sanders,7,455,0,7,100,0,0,0,0,0,0
Mitch Wishnowsky,7,451,91,4,57.1,3,30.3,0,0,0,0
Anders Carlson,6,391,84,2,33.3,4,21,0,0,0,0
Ethan Evans,6,389,34,5,83.3,1,34,0,0,0,0
Nick Folk,6,384,110,1,16.7,5,22,0,0,0,0
Dustin Hopkins,6,383,45,4,66.7,2,22.5,0,0,0,0
Brandon McManus,6,385,19,5,83.3,1,19,0,0,0,0
Greg Zuerlein,6,390,0,6,100,0,0,0,0,0,0
Tyler Bass,5,323,46,3,60,2,23,0,0,0,0
Harrison Butker,5,325,0,5,100,0,0,0,0,0,0
Jake Camarda,5,323,15,4,80,1,15,0,0,0,0
Blake Grupe,5,325,0,5,100,0,0,0,0,0,0
Bradley Pinion,5,320,0,5,100,0,0,0,0,0,0
Matt Prater,5,327,21,4,80,1,21,0,0,0,0
Cairo Santos,5,276,55,2,40,2,27.5,1,0,0,0
Justin Tucker,5,325,0,5,100,0,0,0,0,0,0
Daniel Carlson,4,280,55,2,50,2,27.5,0,0,0,0
Jack Fox,4,260,0,4,100,0,0,0,0,0,0
Matt Gay,4,264,20,3,75,1,20,0,0,0,0
Wil Lutz,4,204,0,3,75,0,0,1,0,0,0
Jason Myers,4,240,8,2,50,1,8,0,0,0,0
Chad Ryland,4,244,11,3,75,1,11,0,0,0,0
Joey Slye,4,260,0,4,100,0,0,0,0,0,0
Ka'imi Fairbairn,3,197,18,2,66.7,1,18,0,0,0,0
Eddy Pineiro,3,195,0,3,100,0,0,0,0,0,0
Chris Boswell,2,130,0,2,100,0,0,0,0,0,0
Evan McPherson,2,130,0,2,100,0,0,0,0,0,0
Graham Gano,1,65,0,1,100,0,0,0,0,0,0
Brett Maher,1,46,16,0,0,1,16,0,0,0,0
